"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Spop",3463.62235664144,-0.316931444525849,0.0986547202616005,-3.21253198717151,0.00131570496384209,0.00610751287046381
"Ece1",936.932104440638,0.0779390138525322,0.257284130886581,0.302929736023596,0.761943409361303,0.860161959841176
"Dtnbp1",893.216179486537,-0.122087693784187,0.158641011548552,-0.769584690569266,0.441546289271195,0.606457935621731
"Elobl",6.01118610547746,1.34020909055395,1.39699480701728,0.959351519291209,0.337381689523598,0.505730727092214
"Pus7",1158.61049778245,-0.0908674199575563,0.154957050049669,-0.586403909524801,0.557604117709973,0.707499862658546
"Zfp317",697.404337527833,-0.313123523272805,0.160560796325281,-1.95018666099816,0.0511538750772916,0.12476468299261
"Lgals8",1075.46769853313,-0.194360645478238,0.115839713710866,-1.67784121051404,0.0933781018665771,0.198806816091579
"Eif1a",4857.57336322244,0.05438903630675,0.0975927148270256,0.55730631536534,0.577318161551532,0.724987409878346
"Zbtb8os",240.563347074893,-0.404181041254317,0.209949858619219,-1.92513128569127,0.0542129358543666,0.130594177612507
"Arl16",220.504991834099,0.34711531660151,0.211599946015988,1.640431971449,0.100915382307986,0.211018538191172
"Trim30d",64.3503725976877,-0.343512103218993,0.587422734473759,-0.584778359875239,0.558696756950297,0.70818302964139
"Lmcd1",79.9372207471011,1.11966528089349,0.464678086711451,2.40955042407405,0.0159721887614909,0.0490507068454261
"Gm6807",42.7102362528984,0.0403246524781118,0.348805378774262,0.115607886036095,0.907963312665517,0.949344006301375
"Gnai1",169.851331187115,5.80043022615979,0.444112177696667,13.0607322146468,5.51943426135626e-39,2.91752035947218e-36
"Prdm2",837.008231483464,0.0552519066829611,0.161483725777411,0.342151547575267,0.732236846434652,0.841219543398894
"Brd9",848.199974152129,-0.151813286356944,0.110572767535378,-1.37297175191325,0.169761128568927,0.309449153568259
"Rps18-ps3",48.7623557318592,-0.550844388730425,0.343962636636428,-1.60146576999488,0.109273795653095,0.22380190466267
"Gapdh",55771.1729034938,0.145554674237414,0.122865292642402,1.18466876289506,0.236148437674753,0.392321820847772
"Bloc1s3",122.953895817052,0.280326345217246,0.255773917783541,1.09599269404194,0.273081971736222,0.43504932502826
